   1.00000000000000       6.947550779661017E+021
   64426.6565656566       6.947550779661017E+021
   128852.313131313       6.947505412220368E+021
   193277.969696970       6.943402122498417E+021
   257703.626262626       6.939298832776464E+021
   322129.282828283       6.935195543054513E+021
   386554.939393939       6.930556303275292E+021
   450980.595959596       6.922349723831389E+021
   515406.252525253       6.914143144387485E+021
   579831.909090909       6.905936564943582E+021
   644257.565656566       6.897045630383751E+021
   708683.222222222       6.886103524458546E+021
   773108.878787879       6.875161418533341E+021
   837534.535353535       6.864219312608137E+021
   901960.191919192       6.852265796489259E+021
   966385.848484849       6.838588164082753E+021
   1030811.50505051       6.824910531676247E+021
   1095237.16161616       6.811232899269742E+021
   1159662.81818182       6.794209103684684E+021
   1224088.47474747       6.773692655074925E+021
   1288514.13131313       6.442170146171625E+021
   1352939.78787879       6.423932087092346E+021
   1417365.44444444       6.403474074494795E+021
   1481791.10101010       6.381589862644386E+021
   1546216.75757576       6.359705650793977E+021
   1610642.41414141       6.337821438943567E+021
   1675068.07070707       6.313944651666243E+021
   1739493.72727273       6.289324913334533E+021
   1803919.38383838       6.264705175002823E+021
   1868345.04040404       6.240085436671111E+021
   1932770.69696970       6.213146067834740E+021
   1997196.35353535       6.185790803021730E+021
   2061622.01010101       6.158435538208718E+021
   2126047.66666667       6.131080273395707E+021
   2190473.32323232       6.099754980209082E+021
   2254898.97979798       6.068296425674118E+021
   2319324.63636364       6.036837871139156E+021
   2383750.29292929       6.005021995335911E+021
   2448175.94949495       5.969460151078997E+021
   2512601.60606061       5.933898306822081E+021
   2577027.26262626       5.898336462565167E+021
   2641452.91919192       5.861926714423350E+021
   2705878.57575758       5.822261580444484E+021
   2770304.23232323       5.782596446465616E+021
   2834729.88888889       5.742931312486750E+021
   2899155.54545455       5.701481529839187E+021
   2963581.20202020       5.656345342897718E+021
   3028006.85858586       5.611209155956249E+021
   3092432.51515152       5.566072969014778E+021
   3156858.17171717       5.519107712955167E+021
   3221283.82828283       5.469868236291748E+021
   3285709.48484848       5.420628759628327E+021
   3350135.14141414       5.371389282964906E+021
   3414560.79797980       5.315190851097195E+021
   3478986.45454545       2.956084470361835E+021
   3543412.11111111       1.108201402036199E+020
   3607837.76767677       1.102186349859090E+020
   3672263.42424242       1.095700798017034E+020
   3736689.08080808       1.088998758137846E+020
   3801114.73737374       1.082296718258658E+020
   3865540.39393939       1.075594678379470E+020
   3929966.05050505       1.069307356529596E+020
   3994391.70707071       1.063120858179577E+020
   4058817.36363636       1.056934359829557E+020
   4123243.02020202       1.050747861479537E+020
   4187668.67676768       1.044085007797091E+020
   4252094.33333333       1.037382967917903E+020
   4316519.98989899       1.030680928038715E+020
   4380945.64646465       1.023978888159527E+020
   4445371.30303030       1.017276848280340E+020
   4509796.95959596       1.010574808401152E+020
   4574222.61616162       1.003872768521964E+020
   4638648.27272727       9.971707286427759E+019
   4703073.92929293       9.904686887635881E+019
   4767499.58585859       9.837666488844005E+019
   4831925.24242424       9.770646090052126E+019
   4896350.89898990       9.702168434134242E+019
   4960776.55555556       9.629992620050681E+019
   5025202.21212121       9.557816805967122E+019
   5089627.86868687       9.485640991883561E+019
   5154053.52525252       9.413465177799998E+019
   5218479.18181818       9.341289363716437E+019
   5282904.83838384       9.269113549632876E+019
   5347330.49494949       9.196937735549318E+019
   5411756.15151515       9.121487134975672E+019
   5476181.80808081       9.043035163145716E+019
   5540607.46464646       8.964583191315759E+019
   5605033.12121212       8.886131219485799E+019
   5669458.77777778       8.808745943149378E+019
   5733884.43434343       7.974754275659535E+019
   5798310.09090909       7.909648575519629E+019
   5862735.74747475       7.742097578539935E+019
   5927161.40404040       7.574546581560241E+019
   5991587.06060606       7.066937155335315E+019
   6056012.71717172       6.995330187008144E+019
   6120438.37373737       6.923723218680976E+019
   6184864.03030303       6.725594385339270E+019
   6249289.68686869       6.734801141699873E+019
   6313715.34343434       6.747346195145182E+019
   6378141.00000000       0.000000000000000E+000
